type	latitude	longitude	name	desc

type	latitude	longitude	name	desc
T	50.1302280	8.6623155	lastverisongraph	Length: 0.854 km (0.531 mi)
T	50.1302263	8.6623503
T	50.1301781	8.6630879
T	50.1292204	8.6632784
T	50.1294388	8.6653034
T	50.1295901	8.6654295
T	50.1297620	8.6665212
T	50.1314608	8.6658292
T	50.1313147	8.6623316

type	latitude	longitude	name	desc
T	50.1314608	8.6658292	lastverisongraph	Length: 0.434 km (0.27 mi)
T	50.1303329	8.6662932
T	50.1303948	8.6671461
T	50.1293287	8.6675189
T	50.1291998	8.6667491
T	50.1297569	8.6665292
T	50.1297620	8.6665212

type	latitude	longitude	name	desc
T	50.1314608	8.6658292	lastverisongraph	Length: 0.614 km (0.381 mi)
T	50.1314549	8.6658515
T	50.1315168	8.6684103
T	50.1309047	8.6685605
T	50.1292368	8.6697729
T	50.1290030	8.6682440
T	50.1293754	8.6680793
T	50.1293758	8.6680796
T	50.1293758	8.6680801
T	50.1293754	8.6680803
T	50.1293752	8.6680803

type	latitude	longitude	name	desc
T	50.1290030	8.6682440	lastverisongraph	Length: 148.7 m (487.9 ft)
T	50.1289922	8.6682464
T	50.1287687	8.6669214
T	50.1291951	8.6667444
T	50.1291998	8.6667491

type	latitude	longitude	name	desc
T	50.1287687	8.6669214	lastverisongraph	Length: 187.7 m (615.8 ft)
T	50.1287618	8.6669214
T	50.1286002	8.6658378
T	50.1294062	8.6654824
T	50.1294337	8.6652974
T	50.1294388	8.6653034

type	latitude	longitude	name	desc
T	50.1291710	8.6642922	lastverisongraph	Length: 124.1 m (407.2 ft)
T	50.1292690	8.6650244
T	50.1291452	8.6651022
T	50.1292071	8.6655555
T	50.1294062	8.6654824

type	latitude	longitude	name	desc
T	50.1291452	8.6651022	lastverisongraph	Length: 109.6 m (359.6 ft)
T	50.1291418	8.6651103
T	50.1285176	8.6653356
T	50.1285950	8.6658398
T	50.1286002	8.6658378

type	latitude	longitude	name	desc
T	50.1288761	8.6623771	lastverisongraph	Length: 0.736 km (0.458 mi)
T	50.1291117	8.6632381
